reservoir_seed,window_start,mase_esn,mase_static,diff_static_minus_esn,esn_wins
33,3979,0.006723125275385441,0.3959384677611738,0.3892153424857884,True
33,4169,0.36430146161497445,0.5763366445817911,0.21203518296681667,True
33,4358,0.09078506970958398,0.41679533837481725,0.32601026866523325,True
33,4548,0.305117318106344,0.36144401298877055,0.05632669488242653,True
33,4737,1.1612927866233231,0.40842867047937825,-0.7528641161439449,False
33,4927,0.04073579376072572,0.8668450945040768,0.8261093007433511,True
33,5116,0.5026412880989567,0.21885652403959904,-0.28378476405935765,False
33,5306,0.7313884642310697,1.264814923438962,0.5334264592078923,True
33,5496,0.14922816373187983,0.3494050736330329,0.20017690990115308,True
44,0,0.5553534059986289,1.0535552737455443,0.49820186774691533,True
44,189,0.2708346112384164,0.18474354039863167,-0.08609107083978473,False
44,379,0.6985504064269794,0.3451210280048337,-0.3534293784221457,False
44,568,0.05247535958044645,0.21220335721852182,0.15972799763807538,True
44,758,0.5610616979090584,0.7822786292941496,0.22121693138509124,True
44,947,0.7912095989321279,0.8285532357377285,0.0373436368056006,True
44,1137,0.42429896797552363,0.5767404783343141,0.15244151035879044,True
44,1326,0.1599877287509188,0.42587763209361984,0.265889903342701,True
44,1516,0.06658082113435251,0.056510412553911336,-0.010070408580441177,False
44,1705,0.32782781727674826,0.32081231378635355,-0.007015503490394703,False
44,1895,0.014873610924839456,0.2586514444322079,0.24377783350736842,True
44,2084,0.18452684065485694,1.1348519983125465,0.9503251576576895,True
44,2274,0.16909330279901755,0.0459727990148925,-0.12312050378412505,False
44,2463,0.3471426252041209,0.13614578142068745,-0.21099684378343347,False
44,2653,0.6558470418131659,0.7511859014344395,0.09533885962127364,True
44,2842,0.4793913722614993,0.3081325749731444,-0.1712587972883549,False
44,3032,0.8865420118228353,1.065472241845357,0.17893023002252173,True
44,3221,0.600410797359748,1.8214753496668923,1.2210645523071442,True
44,3411,0.1441816213759871,0.18267332999854544,0.038491708622558324,True
44,3600,0.30770297879037034,0.5464551292837253,0.23875215049335496,True
44,3790,1.1452939311451578,1.6186876004974955,0.47339366935233773,True
44,3979,0.049917999804215546,0.44181872407020345,0.3919007242659879,True
44,4169,0.40226951797398636,0.5893642497138255,0.18709473173983915,True
44,4358,0.1440438618096145,0.36004108552289443,0.21599722371327992,True
44,4548,0.4005418778952385,0.39339777953406047,-0.0071440983611780196,False
44,4737,1.0365496390422786,0.42589528906514823,-0.6106543499771304,False
44,4927,0.31874754773512165,0.08597107477711022,-0.23277647295801143,False
44,5116,0.4593488967375651,0.23311957731780517,-0.22622931941975996,False
44,5306,0.10185814261019698,1.5226399219419016,1.4207817793317046,True
44,5496,0.05511094871021728,0.34451339605069675,0.2894024473404795,True
55,0,0.05744557303612845,0.9870260772431642,0.9295805042070358,True
55,189,0.22098318617383245,0.2214278844366252,0.00044469826279275315,True
55,379,0.8628512893668892,0.3472404040195627,-0.5156108853473265,False
55,568,0.1042001364627834,0.20197128846129003,0.09777115199850664,True
55,758,0.8876299042121073,0.7896194019036694,-0.09801050230843789,False
55,947,1.2877736979077614,0.7974492553765721,-0.49032444253118934,False
55,1137,0.5705855166883973,0.4816573428083926,-0.08892817388000468,False
55,1326,0.02070589001187637,0.448683486614611,0.4279775966027346,True
55,1516,0.16987972474229507,0.04874375847815856,-0.1211359662641365,False
55,1705,0.607619362914177,0.19560417243396308,-0.41201519048021384,False
55,1895,0.2713983092879331,0.2466026910924119,-0.02479561819552123,False
55,2084,0.5933316810050538,1.1140792102528676,0.5207475292478138,True
55,2274,0.346338080835319,0.15586124679122215,-0.19047683404409682,False
55,2463,0.1043978624706134,0.1471745002107021,0.042776637740088705,True
55,2653,0.3306878694433111,0.6090534810004131,0.27836561155710204,True
55,2842,0.44602127894945964,0.3709860478692972,-0.07503523108016247,False
55,3032,0.44349832538166317,1.2187195812263953,0.7752212558447322,True
55,3221,0.9485289848114621,1.7822466384517357,0.8337176536402736,True
55,3411,0.35027970859853474,0.17594689924645515,-0.1743328093520796,False
55,3600,0.3550202626116433,0.5422026634149467,0.1871824008033034,True
55,3790,1.0151525384367854,1.5062013131661638,0.49104877472937836,True
55,3979,0.2813765091036881,0.48372723541330753,0.20235072630961942,True
55,4169,0.4779895440438381,0.5738862826661462,0.09589673862230808,True
55,4358,0.1511217553724018,0.4285634012906746,0.2774416459182728,True
55,4548,0.435233193638135,0.2429643697124284,-0.1922688239257066,False
55,4737,0.9137932027923249,0.4382703837953233,-0.4755228189970016,False
55,4927,0.06407839613635134,0.048218270155033896,-0.015860125981317447,False
55,5116,0.37755604230019313,0.22581428496433834,-0.1517417573358548,False
55,5306,0.3715424013637422,1.5655549024419846,1.1940125010782423,True
55,5496,0.3036704670081698,0.37107498668729955,0.06740451967912975,True
