variant,k,entity,entity_base,es_LOO,kappa_raw,kappa_used,n_train,d_features,kappa_inf,es_artefacto_standardscaler,genuinamente_singular,motivo_singularidad,historia_corta_registro,oos_MASE,oos_RMSE,oos_Count
ledoitwolf,3,Nicaragua,Nicaragua,False,3323.1371412997946,6.023482789557377,48,27,False,False,False,,False,4.425072679493407,13.238801759994422,4.0
ledoitwolf,3,Costa Rica,Costa Rica,False,4291.357102467447,2.8826595350635005,52,27,False,False,False,,False,0.13463301286874652,0.2499309015303069,6.0
ledoitwolf,3,Panamá,Panamá,False,4.655203410773999e+17,6.572476998100431,8,27,False,False,False,,False,0.4910599189135891,0.8778503227379746,4.0
ledoitwolf,3,Colombia,Colombia,False,inf,27.51433415281818,3,27,False,False,False,,False,1.4554556585227365,2.3393289773408195,1.0
ledoitwolf,3,__LOO__Guatemala,Guatemala,True,15502.669806653987,17.982603651653527,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__El Salvador,El Salvador,True,28459.4551683504,14.958119242681104,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__Honduras,Honduras,True,66115.34577505353,9.127951783663812,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__Nicaragua,Nicaragua,True,25394.395217315086,15.949860446862465,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__Costa Rica,Costa Rica,True,62731.84203785698,12.220185232014654,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__Panamá,Panamá,True,54238.227147937214,15.20396855894794,54,27,False,False,False,,False,,,
ledoitwolf,3,__LOO__Colombia,Colombia,True,60697.18161749327,15.582738735751386,54,27,False,False,False,,False,,,
tikhonov_covariance,2,BCIE Systemic Hub,BCIE Systemic Hub,False,7084.803782491389,28.61702561489414,55,14,False,False,False,,False,0.12494927811938315,0.17291115670478974,1.0
tikhonov_covariance,2,Guatemala,Guatemala,False,282.95081823245647,17.657423291573302,53,14,False,False,False,,False,2.7827908381035553,6.248500828353195,6.0
tikhonov_covariance,2,El Salvador,El Salvador,False,989.5067931423464,17.144791105941476,53,14,False,False,False,,False,0.20818013608882313,0.35063772942164306,4.0
tikhonov_covariance,2,Honduras,Honduras,False,77.59020164732055,14.635000065708702,54,14,False,False,False,,False,0.91851185081445,1.5849044490042083,6.0
tikhonov_covariance,2,Nicaragua,Nicaragua,False,308.65788655392925,18.79279136551219,49,14,False,False,False,,False,3.2253369551931015,8.422575679876427,4.0
tikhonov_covariance,2,Costa Rica,Costa Rica,False,392.11543671760415,17.24694763433561,53,14,False,False,False,,False,0.21574965048308928,0.3204428767288261,6.0
tikhonov_covariance,2,Panamá,Panamá,False,2.2370961239828256e+17,23.071709693391426,9,14,False,False,False,,False,0.701679227385364,1.1583449641244832,4.0
tikhonov_covariance,2,República Dominicana,República Dominicana,False,3.93153948481934e+180,57.00000000000003,2,14,False,False,False,,True,,,
tikhonov_covariance,2,Colombia,Colombia,False,4.039245600038499e+17,29.984283035543516,4,14,False,False,False,,False,1.2010279808944209,1.6620435150721913,1.0
tikhonov_covariance,2,__LOO__Guatemala,Guatemala,True,3195.7205555697983,30.521092169356695,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__El Salvador,El Salvador,True,4367.926400429935,28.039557312187785,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__Honduras,Honduras,True,6601.125950799149,24.528324479334945,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__Nicaragua,Nicaragua,True,3352.8948143406456,28.241442877471002,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__Costa Rica,Costa Rica,True,7112.833218293063,29.836844221736992,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__Panamá,Panamá,True,7015.477185919711,28.384646962353237,55,14,False,False,False,,False,,,
tikhonov_covariance,2,__LOO__República Dominicana,República Dominicana,True,6838.275303990381,28.563768215118397,55,14,False,False,False,,True,,,
tikhonov_covariance,2,__LOO__Colombia,Colombia,True,7417.633966094142,28.627867838233104,55,14,False,False,False,,False,,,
tikhonov_covariance,3,BCIE Systemic Hub,BCIE Systemic Hub,False,54051.93833680965,48.894598937267695,54,27,False,False,False,,False,0.9311963867374325,1.4966960197887162,1.0
tikhonov_covariance,3,Guatemala,Guatemala,False,1446.8057050020502,28.69583251998332,52,27,False,False,False,,False,1.463196588182848,3.45051084232408,6.0
tikhonov_covariance,3,El Salvador,El Salvador,False,4582.5111033643125,27.40584516991193,52,27,False,False,False,,False,,,
tikhonov_covariance,3,Honduras,Honduras,False,644.694455166033,25.270721957381234,53,27,False,False,False,,False,0.530903298230285,1.0571344997175725,6.0
tikhonov_covariance,3,Nicaragua,Nicaragua,False,3323.1371412997946,27.081740827577068,48,27,False,False,False,,False,4.425072679493408,13.238801759994427,4.0
tikhonov_covariance,3,Costa Rica,Costa Rica,False,4291.357102467447,30.691273938939478,52,27,False,False,False,,False,0.1346330128687465,0.24993090153030692,6.0
tikhonov_covariance,3,Panamá,Panamá,False,4.655203410773999e+17,37.29557617172553,8,27,False,False,False,,False,0.49105991891358736,0.877850322737971,4.0
tikhonov_covariance,3,Colombia,Colombia,False,inf,59.854577494604825,3,27,False,False,False,,False,1.4554556585227383,2.339328977340823,1.0
tikhonov_covariance,3,__LOO__Guatemala,Guatemala,True,15502.669806653987,49.80477876147217,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__El Salvador,El Salvador,True,28459.4551683504,47.95486951233787,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__Honduras,Honduras,True,66115.34577505353,43.12268224102777,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__Nicaragua,Nicaragua,True,25394.395217315086,46.125638973000626,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__Costa Rica,Costa Rica,True,62731.84203785698,49.112318183745444,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__Panamá,Panamá,True,54238.227147937214,48.348519429553775,54,27,False,False,False,,False,,,
tikhonov_covariance,3,__LOO__Colombia,Colombia,True,60697.18161749327,48.92852696371052,54,27,False,False,False,,False,,,
nnls_directo,2,BCIE Systemic Hub,BCIE Systemic Hub,False,7084.803782491389,84.17127646943075,55,14,False,False,False,,False,0.3782396872197013,0.3561077024221847,6.0
nnls_directo,2,Guatemala,Guatemala,False,282.95081823245647,16.82114200143553,53,14,False,False,False,,False,1.8780089602462575,2.205379671581953,6.0
nnls_directo,2,El Salvador,El Salvador,False,989.5067931423464,31.456426897254033,53,14,False,False,False,,False,0.567715918076702,0.4790828917955135,4.0
nnls_directo,2,Honduras,Honduras,False,77.59020164732055,8.808530050316037,54,14,False,False,False,,False,0.8992404468045471,0.8927640985238149,6.0
