entity,t0,mode,train_tuvo_shock,test_es_shock,categoria,y_test,raw_pred,yhat,pred_negativa_cruda,positive_by_construction,mase,error_signed,fit_status,lambda_multiplier,lambda_value,validation_qlike,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
CLP,1100,naive,True,False,train_tuvo_shock,2.2565521270892826e-06,8.985678630258387e-06,8.985678630258387e-06,False,True,7.914319225366454e-05,6.729126503169105e-06,ok,,,,0.6329216300442788,0.6329216300442788,0.6329216300442788,0.6329216300442788,0.6329216300442788
CLP,1100,ewma_0.94,True,False,train_tuvo_shock,2.2565521270892826e-06,2.9466977512964974e-05,2.9466977512964974e-05,False,True,0.00032002963930075415,2.7210425385875693e-05,ok,,,,1.6460112046040059,1.6460112046040059,1.6460112046040059,1.6460112046040059,1.6460112046040059
CLP,1100,garch_11,True,False,train_tuvo_shock,2.2565521270892826e-06,0.04258266484535894,0.04258266484535894,False,True,0.5008004290309732,0.042580408293231856,ok,,,,8.845417472320642,8.845417472320642,8.845417472320642,8.845417472320642,8.845417472320642
CLP,1100,gjr_garch_11,True,False,train_tuvo_shock,2.2565521270892826e-06,0.04246658491091666,0.04246658491091666,False,True,0.49943517953476724,0.04246432835878958,ok,,,,8.84268790452063,8.84268790452063,8.84268790452063,8.84268790452063,8.84268790452063
CLP,1100,ols_clip_legacy,True,False,train_tuvo_shock,2.2565521270892826e-06,0.040877998801931215,0.040877998801931215,False,False,0.48075136139347874,0.04087574224980413,ok,,,,8.804564431934136,8.804564431934136,8.804564431934136,8.804564431934136,8.804564431934136
CLP,1100,ridge_clip,True,False,train_tuvo_shock,2.2565521270892826e-06,0.04608554578304412,0.04608554578304412,False,False,0.5419988192473487,0.046083289230917035,ok,0.01,4.999999999999997,8.300350793018886,8.924465562867496,8.924465562867496,8.924465562867496,8.924465562867496,8.924465562867496
CLP,1100,log_ridge,True,False,train_tuvo_shock,2.2565521270892826e-06,3.387591176577437e-06,3.387591176577437e-06,False,True,1.3302475573595779e-05,1.1310390494881543e-06,ok,100.0,49999.99999999997,9.861730864175115,0.0724039807915291,0.0724039807915291,0.0724039807915291,0.0724039807915291,0.0724039807915291
CLP,1100,softplus_ridge,True,False,train_tuvo_shock,2.2565521270892826e-06,0.046064462966992285,0.046064462966992285,False,True,0.5417508581838655,0.0460622064148652,ok,0.01,4.999999999999997,8.299949972657574,8.924008009272839,8.924008009272839,8.924008009272839,8.924008009272839,8.924008009272839
CLP,1100,nnls_signed_clip_legacy,True,False,train_tuvo_shock,2.2565521270892826e-06,0.04264022836017273,0.04264022836017273,False,False,0.5014774500852748,0.04263797180804564,ok,,,,8.84676829421932,8.84676829421932,8.84676829421932,8.84676829421932,8.84676829421932
CLP,1100,nnls_nonneg,True,False,train_tuvo_shock,2.2565521270892826e-06,0.04013107042929118,0.04013107042929118,False,True,0.47196652196926414,0.04012881387716409,ok,,,,8.78612432562173,8.78612432562173,8.78612432562173,8.78612432562173,8.78612432562173
