entity,t0,variant,raw_pred,pred_negativa,positive_by_construction,yhat_clipped,y_test,mase,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
PEN,800,nnls_original_legacy,0.00013008082934886484,False,False,0.00013008082934886484,7.803180557827917e-05,0.20066224517741063,0.1109111936080227,0.1109111936080227,0.1109111936080227,0.1109111936080227,0.1109111936080227
PEN,800,nnls_intermedia_legacy,5.1951899425353285e-05,False,False,5.1951899425353285e-05,7.803180557827917e-05,0.10054468160111255,0.09520278531506299,0.09520278531506299,0.09520278531506299,0.09520278531506299,0.09520278531506299
PEN,800,nnls_nonneg,9.688876863944887e-05,False,True,9.688876863944887e-05,7.803180557827917e-05,0.07269839606905719,0.021822237763971408,0.021822237763971408,0.021822237763971408,0.021822237763971408,0.021822237763971408
PEN,820,nnls_original_legacy,0.00011590706080429462,False,False,0.00011590706080429462,0.00020511754668503854,0.3367442718513884,0.19887803114238167,0.19887803114238167,0.19887803114238167,0.19887803114238167,0.19887803114238167
PEN,820,nnls_intermedia_legacy,0.00010257544636347507,False,False,0.00010257544636347507,0.00020511754668503854,0.3870673336882958,0.3066902886751355,0.3066902886751355,0.3066902886751355,0.3066902886751355,0.3066902886751355
PEN,820,nnls_nonneg,0.00011706542563670636,False,True,0.00011706542563670636,0.00020511754668503854,0.3323717732804223,0.1913113860188882,0.1913113860188882,0.1913113860188882,0.1913113860188882,0.1913113860188882
PEN,840,nnls_original_legacy,0.00012278209770491907,False,False,0.00012278209770491907,5.0850008145633e-05,0.2667956143529812,0.295679328730867,0.295679328730867,0.295679328730867,0.295679328730867,0.295679328730867
PEN,840,nnls_intermedia_legacy,0.00016658011526167796,False,False,0.00016658011526167796,5.0850008145633e-05,0.4292421534858022,0.4918546559764936,0.4918546559764936,0.4918546559764936,0.4918546559764936,0.4918546559764936
PEN,840,nnls_nonneg,0.00017717253454716593,False,True,0.00017717253454716593,5.0850008145633e-05,0.46852936213038004,0.5352521605665932,0.5352521605665932,0.5352521605665932,0.5352521605665932,0.5352521605665932
PEN,860,nnls_original_legacy,0.0001833035828771477,False,False,0.0001833035828771477,1.3960114757616921e-06,0.6702017221201151,3.8851403203210655,3.8851403203210655,3.8851403203210655,3.8851403203210655,3.8851403203210655
