entity,t0,mode,history_size,y_test,yhat_original,evaluable,residual_variance,smearing_factor,yhat_smearing,qlike_original,qlike_smearing,qlike_reduction,improved
ARS,1100,ssrc_log,30,2.854456168948643e-06,7.41576507965202e-07,True,9.756957985262519,131.43060486030274,9.747889205254365e-05,1.5013145772142957,2.5600373345800853,-1.0587227573657896,False
ARS,1120,ssrc_log,31,2.099709637713608e-06,4.312257649664002e-07,True,9.600707354577668,121.5534005943888,5.242901349564203e-05,2.2862429700992477,2.25770968333234,0.028533286766907917,True
ARS,1140,ssrc_log,32,8.753995639387985e-06,8.603842584244566e-07,True,9.47857122693999,114.3524806215938,9.839840948666918e-05,6.854632180678261,1.508479207857778,5.346152972820484,True
ARS,1160,ssrc_log,33,1.2492860292698082e-07,1.0072934488734286e-06,True,9.475533728712856,114.17893970892658,0.00011502301586208683,1.2113039016755538,5.8262312460211465,-4.614927344345593,False
ARS,1180,ssrc_log,34,0.0008057825708118,1.2192229424742822e-06,True,9.245241032543179,101.76034768192811,0.00012407862656273457,653.4048644834618,3.6232302150004934,649.7816342684613,True
ARS,1200,ssrc_log,35,3.774620165070934e-05,1.2802044367271234e-06,True,10.467149027546812,187.46169173198018,0.00024000793564082652,25.10064581504653,1.0070577758878896,24.09358803915864,True
ARS,1220,ssrc_log,36,2.983148765896939e-05,1.2287312902633315e-06,True,10.593722404626348,199.70897909157043,0.0002454085424542672,20.088702050631376,1.228918346385497,18.859783704245878,True
ARS,1240,ssrc_log,37,7.346023975013896e-06,1.6125477952926207e-06,True,10.65194872433216,205.60860013695486,0.00033157415570406234,2.0391949532115157,2.8318472666257475,-0.7926523134142318,False
ARS,1260,ssrc_log,38,0.0005001391165139,7.601956658176067e-07,True,10.453211727014923,186.1598779746592,0.00014153644837326792,650.4193373469934,1.271312821483007,649.1480245255104,True
ARS,1280,ssrc_log,39,1.928541021110103e-05,2.094210484231477e-06,True,11.35152816431339,291.7111446939484,0.0006109336086997015,5.988744610560516,2.4872065436924853,3.501538066868031,True
ARS,1300,ssrc_log,40,9.277571894391584e-05,2.236410812678465e-06,True,11.19531900014626,269.79421455162907,0.000603397578042812,36.758889771915925,1.026146894131514,35.73274287778441,True
ARS,1320,ssrc_log,41,5.113328455854767e-06,2.33073411856743e-06,True,11.262022812793235,278.9441008570896,0.0006501723274508187,0.4082030780632828,3.8532514676245366,-3.445048389561254,False
ARS,1340,ssrc_log,42,1.5805284583809228e-05,2.463026926497404e-06,True,11.000309009465346,244.7297412465602,0.0006028003153791447,3.55806326358854,2.6674614067741294,0.8906018568144107,True
