escenario,t0,mode,ventana_incluye_shock,mase,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
limpio,8160,naive,False,0.06555596744138284,,,,,,
limpio,8180,ols,False,0.20454288382850255,,,,,,
limpio,8180,ridge,False,0.21642805967680312,0.10009687608460845,0.0001,0.055470774489921916,100.09687608460845,400.0,100.0
limpio,8180,nnls,False,0.5544464787085411,,,,,,
limpio,8180,ssrc,False,0.010532669308393788,0.00024307938809166337,1e-06,0.025809370535759713,24.30793880916634,400.0,100.0
limpio,8180,naive,False,0.5423700508562466,,,,,,
limpio,8200,ols,False,0.49176693203357463,,,,,,
limpio,8200,ridge,False,0.48995852262879314,0.0010106921928930979,1e-06,0.06059558050055867,101.0692192893098,400.0,100.0
limpio,8200,nnls,False,0.4225781127695179,,,,,,
limpio,8200,ssrc,False,0.08022266893195068,0.00024507924286913213,1e-06,0.02699797439228557,24.507924286913216,400.0,100.0
limpio,8200,naive,False,0.7578157088265478,,,,,,
limpio,8220,ols,False,0.3502100299765683,,,,,,
limpio,8220,ridge,False,0.350520843360543,0.001033216075669981,1e-06,0.059510034406461416,103.3216075669981,400.0,100.0
limpio,8220,nnls,False,0.439722571635386,,,,,,
limpio,8220,ssrc,False,0.12515650049087185,2.4877211724232895e-06,1e-08,0.023263232809711588,24.877211724232897,400.0,100.0
limpio,8220,naive,False,0.5315581144448037,,,,,,
limpio,8240,ols,False,0.333388251699018,,,,,,
limpio,8240,ridge,False,0.33883568073850673,0.10047916912319275,0.0001,0.0659536314968624,100.47916912319276,400.0,100.0
limpio,8240,nnls,False,0.6499521489190438,,,,,,
limpio,8240,ssrc,False,0.21735533732058085,2.438868758295516e-06,1e-08,0.023996213525950313,24.38868758295516,400.0,100.0
limpio,8240,naive,False,0.5803882822120427,,,,,,
limpio,8260,ols,False,0.5392760156092202,,,,,,
limpio,8260,ridge,False,0.5365015305454421,0.0010008368932365003,1e-06,0.06669021721723792,100.08368932365005,400.0,100.0
limpio,8260,nnls,False,0.21801301905705858,,,,,,
limpio,8260,ssrc,False,0.11530861249519067,2.4649531535824477e-06,1e-08,0.022668232692052273,24.64953153582448,400.0,100.0
limpio,8260,naive,False,0.06967623251404123,,,,,,
limpio,8280,ols,False,0.36689661340025526,,,,,,
limpio,8280,ridge,False,0.3679505247843071,0.0010410143845783811,1e-06,0.06759330202704601,104.10143845783813,400.0,100.0
limpio,8280,nnls,False,0.671965997635978,,,,,,
limpio,8280,ssrc,False,0.1555979121536945,2.5053293890008082e-06,1e-08,0.022525257758046847,25.05329389000808,400.0,100.0
limpio,8280,naive,False,0.8573394344137631,,,,,,
limpio,8300,ols,False,0.2806406661688422,,,,,,
limpio,8300,ridge,False,0.28762068230583504,0.10200283365947112,0.0001,0.06528169092389335,102.00283365947112,400.0,100.0
limpio,8300,nnls,False,0.5835199572987708,,,,,,
limpio,8300,ssrc,False,0.22703487277536202,0.000249599076391275,1e-06,0.022266043752180237,24.959907639127504,400.0,100.0
limpio,8300,naive,False,0.5224160527128227,,,,,,
limpio,8320,ols,False,0.43573767982990974,,,,,,
limpio,8320,ridge,False,0.48752056114394104,0.10102010495612855,0.0001,0.06543935092383618,101.02010495612855,400.0,100.0
limpio,8320,nnls,False,2.1526964350043833,,,,,,
limpio,8320,ssrc,False,0.21076371101968056,0.024747272052610046,0.0001,0.02261150112117161,24.747272052610043,400.0,100.0
limpio,8320,naive,False,1.9948966016150553,,,,,,
limpio,8340,ols,False,0.4208873500285422,,,,,,
limpio,8340,ridge,False,0.37567732755578137,0.10287610786868161,0.0001,0.06672354024410086,102.87610786868161,400.0,100.0
limpio,8340,nnls,False,2.3563807734824933,,,,,,
limpio,8340,ssrc,False,0.037144133918584045,0.02465067699923714,0.0001,0.022962375408162008,24.65067699923714,400.0,100.0
limpio,8340,naive,False,2.1780720639396716,,,,,,
limpio,8360,ols,False,0.31533627084580246,,,,,,
limpio,8360,ridge,False,0.2719915405027256,0.10390707787291711,0.0001,0.07147106255239485,103.90707787291711,400.0,100.0
limpio,8360,nnls,False,0.3812713241881026,,,,,,
limpio,8360,ssrc,False,0.04184571865486587,0.024813271428336,0.0001,0.02315432826729429,24.813271428336,400.0,100.0
limpio,8360,naive,False,0.3944746199566091,,,,,,
limpio,8380,ols,False,0.0485463209564577,,,,,,
limpio,8380,ridge,False,0.04920706423424518,0.09977596378084722,0.0001,0.06908452031832285,99.77596378084722,400.0,100.0
limpio,8380,nnls,False,0.14510654247041052,,,,,,
limpio,8380,ssrc,False,0.21289907563363317,0.02432555536570409,0.0001,0.023739064078611705,24.32555536570409,400.0,100.0
limpio,8380,naive,False,0.15448250616302284,,,,,,
limpio,8400,ols,False,0.08923714889202167,,,,,,
limpio,8400,ridge,False,0.08173078557818157,0.10134729939578832,0.0001,0.07242896181967717,101.34729939578831,400.0,100.0
limpio,8400,nnls,False,0.742699439517309,,,,,,
limpio,8400,ssrc,False,0.022713507656472943,0.024229560438497267,0.0001,0.0277719373904785,24.229560438497266,400.0,100.0
limpio,8400,naive,False,0.4906555492228543,,,,,,
limpio,8420,ols,False,0.04776329252676816,,,,,,
limpio,8420,ridge,False,0.02526930930724109,0.10380019242670087,0.0001,0.06653119138597878,103.80019242670087,400.0,100.0
limpio,8420,nnls,False,0.027047087620491194,,,,,,
limpio,8420,ssrc,False,0.2470970370515047,0.0002464477110707938,1e-06,0.027084761348527983,24.644771107079382,400.0,100.0
limpio,8420,naive,False,0.08710151718917752,,,,,,
limpio,8440,ols,False,0.1435258051050674,,,,,,
limpio,8440,ridge,False,0.17048924860286743,0.10504114390292002,0.0001,0.05911878869963776,105.04114390292003,400.0,100.0
limpio,8440,nnls,False,1.5378259643782248,,,,,,
limpio,8440,ssrc,False,0.06727267594451554,0.00025165613676434947,1e-06,0.02599206065077583,25.16561367643495,400.0,100.0
limpio,8440,naive,False,1.3533917342536277,,,,,,
limpio,8460,ols,False,0.021793783230869803,,,,,,
