seed,window_start,regime,horizon,mase_ssrc,mase_static,mase_ridge,mase_ols
100,920,clean_multistep,10,0.35180700750196564,0.18469282333535594,1.4696180195808717,1.4272755243044513
100,920,clean_1step,1,0.021335425537258774,0.03263817912920219,0.3751683713796703,0.3207249082461986
100,960,clean_multistep,5,0.7177615785756881,0.26425681880896984,0.6750617997874085,0.6908257844897662
100,960,clean_multistep,10,1.6882129245821809,1.1559290570827996,1.8420889143143533,1.8749164980777067
100,960,clean_1step,1,0.10522260805234071,0.019340661996291978,0.12016158029329482,0.12188941604039034
100,1000,clean_multistep,5,0.887235040796371,0.021414583887520613,0.1329266784612614,0.13289027007206175
100,1000,clean_multistep,10,1.9170167324073564,0.16091758151542707,1.6034945453684546,1.6036958265441519
100,1000,clean_1step,1,0.06576267689005562,0.002495585124421356,0.02393848193403277,0.023916627056272812
100,1040,clean_multistep,5,0.657029124243171,0.006598289878935036,1.0625540718272473,1.0508004370910116
100,1040,clean_multistep,10,2.3600769816083202,0.05669779284862436,1.651329107057019,1.646453575840417
100,1040,clean_1step,1,0.04818653773328031,0.003890545333206653,0.09508898630084835,0.09464872552889197
100,1080,clean_multistep,5,0.3880538275365212,0.13361059794055943,0.8925762825586732,1.0852567424245758
100,1080,clean_multistep,10,0.64285699158999,0.14149087462030177,1.0762697041705527,1.4321099734019154
100,1080,clean_1step,1,0.06542311949873184,0.039332405534144896,0.16526789295849836,0.10279583204020258
100,1120,clean_multistep,5,0.6653361114688839,0.2550911986043843,2.3344516909831823,2.5725156256515587
100,1120,clean_multistep,10,1.5477366671343467,0.5699661443197561,4.870151536864187,5.156768653086995
100,1120,clean_1step,1,0.023938853673977124,0.02318573729483582,0.2860801034142346,0.31555776509025213
100,1160,clean_multistep,5,0.05611076330966726,0.01174840339308782,0.9734193901095167,1.3835939500467862
100,1160,clean_multistep,10,0.5029330480544364,0.2313697312055602,0.8537557478196486,1.3728344797445065
100,1160,clean_1step,1,0.011331227094384036,0.0027388885092547886,0.08847479922516546,0.17291404530243326
100,1200,clean_multistep,5,0.25636077605025986,0.40976973668398126,3.28705929929392,3.1606384486714743
100,1200,clean_multistep,10,0.4173481536360636,0.42650636079972515,2.8391975903349604,2.7530918374771765
100,1200,clean_1step,1,0.02724094372906072,0.025335498677076292,0.3719861433714392,0.3400162116784459
100,1240,clean_multistep,5,0.9713756663333766,0.2720685143920458,0.3668773185552905,0.7778146233085309
100,1240,clean_multistep,10,7.627007643949305,1.1564739151150407,1.7511443419667327,1.7382066099096052
100,1240,clean_1step,1,0.05806638087924627,0.013048837564403436,0.052402474572716976,0.10746343607375751
100,1280,clean_multistep,5,0.05158825670049427,0.09441226532757097,2.148004179385769,2.1433835849606697
100,1280,clean_multistep,10,0.24199144903831657,0.13390600878655715,3.0205405540350414,2.813236732942791
100,1280,clean_1step,1,0.05174247340102491,0.02064680315989681,0.16231175141671214,0.1952762035817846
100,1320,clean_multistep,5,0.1451533533266361,0.09990747538122481,1.1166141072386477,1.1725579217899338
100,1320,clean_multistep,10,0.4613856996342526,0.5658665328377289,4.172942230100347,4.23082172185657
100,1320,clean_1step,1,0.004104739617517689,0.008117980709524701,0.128000638938487,0.13431170243684443
100,1360,clean_multistep,5,0.2729233341345478,0.011790065651101467,1.1909697014591176,1.191069589637395
100,1360,clean_multistep,10,3.2839545880247805,0.2563495885337002,1.9815509365777508,1.9816655714589706
100,1360,clean_1step,1,0.011711653526719112,0.0027941182731031043,0.4175054783848033,0.4175164899217964
100,1400,clean_multistep,5,1.4116283662636508,0.7153072808322838,2.041405201703281,1.8796570044934362
100,1400,clean_multistep,10,1.485834788403689,0.8089705250817877,2.458777299834564,2.2414759939840683
100,1400,clean_1step,1,0.08822704469041989,0.040189942613601176,0.2550460059408108,0.2257577593309052
100,1440,clean_multistep,5,0.4672782306467952,0.7282861538574895,2.3360405032901213,2.340278608335182
100,1440,clean_multistep,10,0.43714292148822875,0.715125076107965,2.327157050326751,2.331243850443347
100,1440,clean_1step,1,0.03621413348828174,0.04424516028074882,0.2654166093977605,0.26657372071481333
100,1480,clean_multistep,5,0.5595876395461233,0.3414388059478885,2.093275366146775,2.071389152841765
100,1480,clean_multistep,10,6.840708578734373,0.8969037341117181,4.495576576546792,4.469422222488989
100,1480,clean_1step,1,0.02251384687661138,0.035209367605742566,0.33807504632453955,0.33579567383886544
100,1520,clean_multistep,5,0.22383519751686085,0.006919081222989765,3.6155789558477966,3.9429588093632706
100,1520,clean_multistep,10,0.2917956584998157,0.04383228164082816,3.6281217194388495,4.1213850134068295
100,1520,clean_1step,1,0.01182497507119858,0.0017313288732630906,0.313268870177448,0.3532581744359133
100,1560,clean_multistep,5,0.26846776750986207,0.34446291201791335,2.9951890675776065,3.2438971725354624
100,1560,clean_multistep,10,2.440054905068891,1.2526360647567234,5.132913941741639,5.41686382869427
100,1560,clean_1step,1,0.12709089081916689,0.013690468080411095,0.4099374498574778,0.44321251111142496
