ubicacion,magnitud_sigma,signo,t0,kappa_raw,kappa_lw,ventana_incluye_shock
5000,10,1,3340,1243272.5758210232,704.2176699766866,False
5000,10,1,3360,1210133.611677822,721.660839787219,False
5000,10,1,3380,1193039.73192333,713.908271953137,False
5000,10,1,3400,1213505.368227496,716.4850879601288,False
5000,10,1,3420,1237944.0168061554,700.3909064194854,False
5000,10,1,3440,1246717.9064366212,710.7471909163877,False
5000,10,1,3460,987324.3373878917,635.3874312685061,False
5000,10,1,3480,1015312.452793635,658.6649768931901,False
5000,10,1,3500,1018223.1228251845,681.1856818127787,False
5000,10,1,3520,981731.8808176443,634.3034151022993,False
5000,10,1,3540,1015295.1251870396,675.3500557185703,False
5000,10,1,3560,1042889.1689865488,701.7682405468307,False
5000,10,1,3580,1077562.2015840746,745.3625830059732,False
5000,10,1,3600,1074722.0852076535,739.3502398312642,False
5000,10,1,3620,1052947.5355028913,727.304563367629,False
5000,10,1,3640,1064826.2725364324,738.8533934800914,False
5000,10,1,3660,1127277.844105927,808.7902406305824,False
5000,10,1,3680,1150111.3338781544,813.78923304722,False
5000,10,1,3700,1145036.830523878,802.4297829254925,False
5000,10,1,3720,1119836.8556466813,781.6887980452225,False
5000,10,1,3740,1306936.3047417523,850.1734109381943,False
5000,10,1,3760,1340454.7170254781,877.9498957803494,False
5000,10,1,3780,1306416.4671076674,825.028755477251,False
5000,10,1,3800,1289792.946742191,816.0592399994503,False
5000,10,1,3820,1276357.2696303728,784.9858818304776,False
5000,10,1,3840,1237691.5236736054,745.4621230790221,False
5000,10,1,3860,1238752.3074464237,742.6288280892253,False
5000,10,1,3880,1245383.98630632,747.823909194767,False
5000,10,1,3900,1239659.6808760106,745.8941612791305,False
5000,10,1,3920,1268571.7651110126,781.5405135444546,False
5000,10,1,3940,1245583.8748832243,738.011445363661,False
5000,10,1,3960,1236081.6490133815,727.2202090426628,False
5000,10,1,3980,1232876.8670615125,692.6337402382445,False
5000,10,1,4000,1210391.3870465066,630.0839803118714,False
5000,10,1,4020,1201799.5274186034,593.7660107047963,False
5000,10,1,4040,1175584.581458233,533.2480998849419,False
5000,10,1,4060,1152103.0798527494,505.3359224930619,False
5000,10,1,4080,1140735.87339744,509.77881275143716,False
5000,10,1,4100,1142887.4000916707,502.51251174308015,False
5000,10,1,4120,1185441.8595423913,502.35718897917803,False
5000,10,1,4140,1189870.693259073,502.47334243006236,False
5000,10,1,4160,1135730.8156524368,451.56888576981413,False
5000,10,1,4180,1189754.8241598285,476.40961946239753,False
5000,10,1,4200,1103092.3783182036,456.70923868097964,False
5000,10,1,4220,1112111.9112678245,468.58025553557786,False
5000,10,1,4240,1118745.3861976126,466.00103616621305,False
5000,10,1,4260,1114040.5094381857,466.81765902278,False
5000,10,1,4280,1107122.5166394135,485.23810570871154,False
5000,10,1,4300,1119604.1396758067,493.1410795761844,False
5000,10,1,4320,1107686.8989781232,485.7580316575367,False
5000,10,1,4340,1112393.518390259,486.491485991894,False
5000,10,1,4360,1113160.8761783584,472.7066689975693,False
5000,10,1,4380,1132383.1716363584,501.22223772320996,False
5000,10,1,4400,1158749.0513101507,532.2466035799556,False
5000,10,1,4420,1110013.0715526163,499.3166750412643,False
5000,10,1,4440,1135472.4454870299,526.205209429976,False
5000,10,1,4460,1508960.091351311,593.4497804620788,False
5000,10,1,4480,1513212.6623154567,613.3371378688379,False
5000,10,1,4500,1519178.0628899613,623.0893842967772,False
5000,10,1,4520,1544972.8847325484,661.4763151258722,False
5000,10,1,4540,1499400.3854185464,689.1465299133802,False
5000,10,1,4560,1492521.2971169187,685.917641686447,False
5000,10,1,4580,1484917.7221918418,645.8472937834302,False
5000,10,1,4600,1444456.513514751,635.0361247324961,False
5000,10,1,4620,1417492.8201680735,636.1548703340324,False
5000,10,1,4640,1398685.5669170786,599.079031436904,False
5000,10,1,4660,1355649.5170161563,603.8665151710062,False
5000,10,1,4680,1344468.7587168792,597.836658445541,False
5000,10,1,4700,1468567.3820735237,630.2338350786564,False
5000,10,1,4720,1461858.1722275817,605.5988081905217,False
5000,10,1,4740,1408647.2125568802,579.0136532225298,False
5000,10,1,4760,1416399.4781780331,576.4470535901938,False
5000,10,1,4780,1455302.1773826226,575.4816847576503,False
5000,10,1,4800,1390289.5767395217,547.153005876943,False
5000,10,1,4820,1416643.3969584561,555.144097473039,False
5000,10,1,4840,1439749.0984364615,582.2783584745289,False
5000,10,1,4860,1454354.3813927828,579.899866831228,False
5000,10,1,4880,1275790.8383531775,552.0848025429611,False
5000,10,1,4900,1231627.5496893688,508.2397634077087,False
5000,10,1,4920,1258483.1948833757,500.4589038126863,False
5000,10,1,4940,1248540.5837111962,470.7316104551205,False
5000,10,1,4960,1209626.0097002762,429.88446091619426,False
5000,10,1,4980,1187373.44631465,424.661889960099,False
5000,10,1,5000,11479.507783047166,1.0,True
5000,10,1,5020,11206.78675798113,1.0,True
5000,10,1,5040,11193.544004574023,1.0,True
5000,10,1,5060,11546.493827582584,1.0,True
5000,10,1,5080,11444.215951339744,1.0,True
5000,10,1,5100,11529.273019249184,1.0,True
5000,10,1,5120,11878.585879501166,1.0,True
5000,10,1,5140,12012.867584120468,1.0,True
5000,10,1,5160,12398.967950372373,1.0,True
5000,10,1,5180,13016.540372152953,1.0,True
5000,10,1,5200,10397.681617103693,1.0,True
5000,10,1,5220,9480.02233659245,1.0,True
5000,10,1,5240,9423.30353452642,1.0,True
5000,10,1,5260,9399.154753580291,1.0,True
5000,10,1,5280,9300.1268232325,1.0,True
5000,10,1,5300,10015.090869258636,1.0,True
5000,10,1,5320,10265.25354848738,1.0,True
5000,10,1,5340,10302.69143990943,1.0,True
5000,10,1,5360,10315.520519165158,1.0,True
5000,10,1,5380,8377.338339361979,1.0,True
5000,10,1,5400,8123.5892801199425,1.0,True
5000,10,1,5420,8044.731051868194,1.0,True
5000,10,1,5440,8135.218613382332,1.0,True
5000,10,1,5460,7923.790851303927,1.0,True
5000,10,1,5480,8088.680190050573,1.0,True
5000,10,1,5500,199461.5292076108,1.177503308190722,False
5000,10,1,5520,1065195.265198908,455.76229793879116,False
5000,10,1,5540,1009020.9740446768,458.6878402866939,False
5000,10,1,5560,1022940.0833756992,483.92176450017143,False
5000,10,1,5580,1047936.7277644525,507.6449791965863,False
5000,10,1,5600,1021501.3281678245,497.22360977109713,False
5000,10,1,5620,1030513.7496046002,495.2497343643493,False
5000,10,1,5640,1007566.3746769693,468.0212943539061,False
5000,10,1,5660,926961.8092744299,436.03937101709624,False
5000,10,1,5680,989055.125512843,485.85012866191073,False
5000,10,1,5700,1192892.5147324256,540.157816400638,False
