H,sigma_ruido,semilla,t0,mode,mase_acumulado,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
10,0.2,3,17540,ssrc,0.6376814007573466,2.4943242403872787,0.01,0.2597266665588769,24.943242403872787,400.0,100.0
10,0.2,3,17540,naive,3.5509588908702967,,,,,,
10,0.2,3,17600,ols,3.2126691553687405,,,,,,
10,0.2,3,17600,ridge,3.212668890672416,1.047985996017436e-05,1e-08,0.29677477940230834,104.7985996017436,400.0,100.0
10,0.2,3,17600,nnls,3.0199136302104166,,,,,,
10,0.2,3,17600,ssrc,1.2882344091109488,2.4790376501940794,0.01,0.21631027930445879,24.7903765019408,400.0,100.0
10,0.2,3,17600,naive,2.772093275633411,,,,,,
10,0.2,3,17660,ols,0.5539726926998334,,,,,,
10,0.2,3,17660,ridge,0.5099550310183957,9.974811971354391,0.01,0.2934318486735241,99.74811971354391,400.0,100.0
10,0.2,3,17660,nnls,1.058790705104754,,,,,,
10,0.2,3,17660,ssrc,0.6512689377602049,24.695462317031186,0.1,0.24523428295825567,24.695462317031186,400.0,100.0
10,0.2,3,17660,naive,2.367365920031045,,,,,,
10,0.2,3,17720,ols,2.0864748655242367,,,,,,
10,0.2,3,17720,ridge,2.093659238793061,9.310149600742161,0.01,0.28566814796654894,93.1014960074216,400.0,100.0
10,0.2,3,17720,nnls,2.3598956331045824,,,,,,
10,0.2,3,17720,ssrc,2.4613881024400315,24.103253496311837,0.1,0.2542333213928058,24.103253496311837,400.0,100.0
10,0.2,3,17720,naive,3.279604126357434,,,,,,
10,0.2,3,17780,ols,1.4558458956247222,,,,,,
10,0.2,3,17780,ridge,1.3999827433906935,9.128446768702101,0.01,0.30074060049386087,91.28446768702102,400.0,100.0
10,0.2,3,17780,nnls,1.4038484034298169,,,,,,
10,0.2,3,17780,ssrc,0.661332005473855,2.4414243328745364,0.01,0.23573910584141522,24.414243328745364,400.0,100.0
10,0.2,3,17780,naive,1.3832081807233547,,,,,,
10,0.2,3,17840,ols,1.657378172432769,,,,,,
10,0.2,3,17840,ridge,1.5333879519817515,9.062774863932164,0.01,0.3013617402728169,90.62774863932164,400.0,100.0
10,0.2,3,17840,nnls,1.3418845051651485,,,,,,
10,0.2,3,17840,ssrc,1.0612482533588325,0.2419953288719791,0.001,0.20627892045298385,24.19953288719791,400.0,100.0
10,0.2,3,17840,naive,1.2072320525644435,,,,,,
10,0.2,3,17900,ols,1.3028506398330235,,,,,,
10,0.2,3,17900,ridge,1.3009014337585534,0.8834326326992775,0.001,0.3036734075856717,88.34326326992776,400.0,100.0
10,0.2,3,17900,nnls,2.3995687642986727,,,,,,
10,0.2,3,17900,ssrc,3.3162575295459846,0.24217147381721738,0.001,0.22986355066244735,24.217147381721738,400.0,100.0
10,0.2,3,17900,naive,2.918612870878549,,,,,,
10,0.2,3,17960,ols,1.6561093688205761,,,,,,
10,0.2,3,17960,ridge,1.6561091920817963,8.77356426497592e-06,1e-08,0.2895232568730718,87.7356426497592,400.0,100.0
10,0.2,3,17960,nnls,1.3833024008948638,,,,,,
10,0.2,3,17960,ssrc,0.3227095898189342,2.4099846050725433,0.01,0.2485088777923358,24.099846050725432,400.0,100.0
10,0.2,3,17960,naive,1.2205828391363247,,,,,,
10,0.2,3,18020,ols,1.453080803410143,,,,,,
10,0.2,3,18020,ridge,1.4530806481192051,8.556358717864983e-06,1e-08,0.31771621181262616,85.56358717864983,400.0,100.0
10,0.2,3,18020,nnls,1.399513125467972,,,,,,
10,0.2,3,18020,ssrc,0.7091833787639679,2.3358843251807633,0.01,0.2505793039621645,23.358843251807635,400.0,100.0
10,0.2,3,18020,naive,1.7197481939264585,,,,,,
10,0.2,3,18080,ols,4.0524944133074134,,,,,,
10,0.2,3,18080,ridge,4.066639725473817,0.08153658080491588,0.0001,0.28550117304158684,81.53658080491589,400.0,100.0
10,0.2,3,18080,nnls,5.794195879338711,,,,,,
10,0.2,3,18080,ssrc,3.354552991814341,2.300878359082733e-06,1e-08,0.22593077381561497,23.00878359082733,400.0,100.0
10,0.2,3,18080,naive,7.39095438097662,,,,,,
10,0.2,3,18140,ols,1.478999950045177,,,,,,
10,0.2,3,18140,ridge,1.4695420997871322,0.884931652745892,0.001,0.2821647628299672,88.49316527458922,400.0,100.0
10,0.2,3,18140,nnls,0.8875476159328572,,,,,,
10,0.2,3,18140,ssrc,2.785244680568195,2.3947159995452827,0.01,0.2701281449056529,23.94715999545283,400.0,100.0
10,0.2,3,18140,naive,0.8743389945180624,,,,,,
10,0.2,3,18200,ols,2.2614273330571666,,,,,,
10,0.2,3,18200,ridge,2.305407983287831,9.342542793021314,0.01,0.2808714474493875,93.42542793021315,400.0,100.0
10,0.2,3,18200,nnls,2.152984507717552,,,,,,
10,0.2,3,18200,ssrc,1.2102566782222255,23.860564727143828,0.1,0.23879331180444807,23.860564727143828,400.0,100.0
10,0.2,3,18200,naive,1.6909336717377215,,,,,,
10,0.2,3,18260,ols,2.797891814276188,,,,,,
10,0.2,3,18260,ridge,2.7978916222014165,9.462146818478609e-06,1e-08,0.2751545329722715,94.6214681847861,400.0,100.0
10,0.2,3,18260,nnls,2.328561688881852,,,,,,
10,0.2,3,18260,ssrc,1.0638715153883904,2.3662436464323714e-06,1e-08,0.2102437312668045,23.662436464323715,400.0,100.0
10,0.2,3,18260,naive,1.9917877570048128,,,,,,
10,0.2,3,18320,ols,0.8112476178008611,,,,,,
10,0.2,3,18320,ridge,0.8112473104206807,9.10801247746696e-06,1e-08,0.2765176926589211,91.08012477466959,400.0,100.0
10,0.2,3,18320,nnls,0.32787734326591195,,,,,,
10,0.2,3,18320,ssrc,3.555131338642779,2.3800998628391214,0.01,0.22974556464419799,23.800998628391216,400.0,100.0
10,0.2,3,18320,naive,0.21213347386486417,,,,,,
10,0.2,3,18380,ols,3.289814033927629,,,,,,
10,0.2,3,18380,ridge,3.021269224152953,9.283378918370282,0.01,0.27538820567003747,92.83378918370283,400.0,100.0
10,0.2,3,18380,nnls,2.257488096217714,,,,,,
10,0.2,3,18380,ssrc,0.5190788910887085,2.385348730314849e-06,1e-08,0.23905885991246492,23.853487303148494,400.0,100.0
10,0.2,3,18380,naive,1.8499581687972237,,,,,,
10,0.2,3,18440,ols,0.7579645344077214,,,,,,
10,0.2,3,18440,ridge,0.9115248256135863,8.410239459855333,0.01,0.23241805682351327,84.10239459855335,400.0,100.0
