nivel_ruido,variante,semilla,mode,mase_mediana,lambda_mediana,lambda_relativa_mediana,n_ventanas
0.05,target_ruidoso,3,ssrc,0.2791420704076545,0.2270774727036109,0.001,1475
0.05,target_ruidoso,4,naive,0.8617053054053315,,,1475
0.05,target_ruidoso,4,nnls,0.8587414841308708,,,1475
0.05,target_ruidoso,4,ols,0.5140193532912342,,,1475
0.05,target_ruidoso,4,ridge,0.5260773999440587,0.08760325856133543,0.0001,1475
0.05,target_ruidoso,4,ssrc,0.28462383361896276,0.2270243982562602,0.001,1475
0.1,target_limpio,0,naive,0.8613705680415826,,,1475
0.1,target_limpio,0,nnls,0.9537381204532229,,,1475
0.1,target_limpio,0,ols,0.6633160754659286,,,1475
0.1,target_limpio,0,ridge,0.6679616370668182,0.10118705950130143,0.0001,1475
0.1,target_limpio,0,ssrc,0.39124421723993147,0.23165196393899026,0.001,1475
0.1,target_limpio,1,naive,0.8613705680415826,,,1475
0.1,target_limpio,1,nnls,0.9525799217810977,,,1475
0.1,target_limpio,1,ols,0.660349962551329,,,1475
0.1,target_limpio,1,ridge,0.6667926666111619,0.10095943878384048,0.0001,1475
0.1,target_limpio,1,ssrc,0.37710368834890495,0.23119013370995267,0.001,1475
0.1,target_limpio,2,naive,0.8613705680415826,,,1475
0.1,target_limpio,2,nnls,0.9539033214530726,,,1475
0.1,target_limpio,2,ols,0.6827926540383783,,,1475
0.1,target_limpio,2,ridge,0.6827920735438457,0.10308568155469994,0.0001,1475
0.1,target_limpio,2,ssrc,0.3786976395186751,0.2333234340544026,0.001,1475
0.1,target_limpio,3,naive,0.8613705680415826,,,1475
0.1,target_limpio,3,nnls,0.9140850310150851,,,1475
0.1,target_limpio,3,ols,0.6811889343736495,,,1475
0.1,target_limpio,3,ridge,0.6801927478749785,0.10297870661527031,0.0001,1475
0.1,target_limpio,3,ssrc,0.38155023501084245,0.23158012517960389,0.001,1475
0.1,target_limpio,4,naive,0.8613705680415826,,,1475
0.1,target_limpio,4,nnls,0.9206255839703682,,,1475
0.1,target_limpio,4,ols,0.6864769534212088,,,1475
0.1,target_limpio,4,ridge,0.6834571903672038,0.10396244319702874,0.0001,1475
0.1,target_limpio,4,ssrc,0.3936332754549793,0.23147207238540016,0.001,1475
0.1,target_ruidoso,0,naive,0.8837835198948741,,,1475
0.1,target_ruidoso,0,nnls,0.8923999219023254,,,1475
0.1,target_ruidoso,0,ols,0.6793554516325157,,,1475
0.1,target_ruidoso,0,ridge,0.6820443893762979,0.101893534929202,0.0001,1475
0.1,target_ruidoso,0,ssrc,0.4670978993156799,0.24173506394441063,0.001,1475
0.1,target_ruidoso,1,naive,0.859966883016802,,,1475
0.1,target_ruidoso,1,nnls,0.8797186464677602,,,1475
0.1,target_ruidoso,1,ols,0.6765263898064734,,,1475
0.1,target_ruidoso,1,ridge,0.6792418212668466,0.10319844090397337,0.0001,1475
0.1,target_ruidoso,1,ssrc,0.45805009504796584,0.23860338764342448,0.001,1475
0.1,target_ruidoso,2,naive,0.8847513722066118,,,1475
0.1,target_ruidoso,2,nnls,0.910799459856006,,,1475
0.1,target_ruidoso,2,ols,0.6820276880561885,,,1475
0.1,target_ruidoso,2,ridge,0.6854309777612573,0.10408727751353838,0.0001,1475
0.1,target_ruidoso,2,ssrc,0.4603911285518264,0.24199343574536303,0.001,1475
0.1,target_ruidoso,3,naive,0.8690053079098102,,,1475
0.1,target_ruidoso,3,nnls,0.8831290445207483,,,1475
0.1,target_ruidoso,3,ols,0.6553501128634057,,,1475
0.1,target_ruidoso,3,ridge,0.6529537368687682,0.10569947186020773,0.0001,1475
0.1,target_ruidoso,3,ssrc,0.4377764162389442,0.23980530654238064,0.001,1475
0.1,target_ruidoso,4,naive,0.8424786454794734,,,1475
0.1,target_ruidoso,4,nnls,0.8618365934462228,,,1475
0.1,target_ruidoso,4,ols,0.656783949911921,,,1475
0.1,target_ruidoso,4,ridge,0.6588168159249279,0.10789391438233516,0.0001,1475
0.1,target_ruidoso,4,ssrc,0.4634739650473588,0.24166570088631292,0.001,1475
0.2,target_limpio,0,naive,0.8613705680415826,,,1475
0.2,target_limpio,0,nnls,1.0345098527203103,,,1475
0.2,target_limpio,0,ols,0.917754794775997,,,1475
0.2,target_limpio,0,ridge,0.9328325962478,1.005679197763262,0.001,1475
0.2,target_limpio,0,ssrc,0.6666279445296703,0.26208568955858924,0.001,1475
0.2,target_limpio,1,naive,0.8613705680415826,,,1475
0.2,target_limpio,1,nnls,1.0907410902877204,,,1475
0.2,target_limpio,1,ols,1.0127437402003687,,,1475
0.2,target_limpio,1,ridge,1.0052996641168426,1.0090227878313436,0.001,1475
0.2,target_limpio,1,ssrc,0.6701722228713115,2.3152241860291674,0.01,1475
0.2,target_limpio,2,naive,0.8613705680415826,,,1475
0.2,target_limpio,2,nnls,1.019276194905065,,,1475
0.2,target_limpio,2,ols,0.9230809808415735,,,1475
0.2,target_limpio,2,ridge,0.9274009087540447,1.0001508234573484,0.001,1475
0.2,target_limpio,2,ssrc,0.6395488316984981,0.2594839955069711,0.001,1475
0.2,target_limpio,3,naive,0.8613705680415826,,,1475
0.2,target_limpio,3,nnls,1.0154603887941234,,,1475
0.2,target_limpio,3,ols,0.9161647503888027,,,1475
0.2,target_limpio,3,ridge,0.9109257422595348,1.0178327768034603,0.001,1475
0.2,target_limpio,3,ssrc,0.6730745007339717,0.272823456793577,0.001,1475
0.2,target_limpio,4,naive,0.8613705680415826,,,1475
0.2,target_limpio,4,nnls,1.051288186111991,,,1475
0.2,target_limpio,4,ols,0.9508644471909787,,,1475
0.2,target_limpio,4,ridge,0.9532654743257136,1.0123415259645363,0.001,1475
0.2,target_limpio,4,ssrc,0.6582941499531562,2.3356171477989274,0.01,1475
0.2,target_ruidoso,0,naive,0.8760740764557887,,,1475
0.2,target_ruidoso,0,nnls,0.8309884923231761,,,1475
0.2,target_ruidoso,0,ols,0.8076418560689201,,,1475
0.2,target_ruidoso,0,ridge,0.8131834356912154,1.0205102102630728,0.001,1475
0.2,target_ruidoso,0,ssrc,0.6847704758397405,2.4133332473756766,0.01,1475
0.2,target_ruidoso,1,naive,0.8948352532082622,,,1475
0.2,target_ruidoso,1,nnls,0.8850602550270823,,,1475
0.2,target_ruidoso,1,ols,0.8259723689283786,,,1475
0.2,target_ruidoso,1,ridge,0.8330416584684277,1.0153912426415868,0.001,1475
0.2,target_ruidoso,1,ssrc,0.7017412679887329,2.410398311196147,0.01,1475
0.2,target_ruidoso,2,naive,0.8614398741803809,,,1475
0.2,target_ruidoso,2,nnls,0.8208940934746255,,,1475
0.2,target_ruidoso,2,ols,0.7583400460944498,,,1475
0.2,target_ruidoso,2,ridge,0.7650438488417899,1.0201593513855776,0.001,1475
0.2,target_ruidoso,2,ssrc,0.628510900472118,2.4054295757004875,0.01,1475
0.2,target_ruidoso,3,naive,0.8571706186977384,,,1475
0.2,target_ruidoso,3,nnls,0.8417938013810403,,,1475
0.2,target_ruidoso,3,ols,0.7741460069607791,,,1475
0.2,target_ruidoso,3,ridge,0.7793135303767285,1.0372357609980376,0.001,1475
0.2,target_ruidoso,3,ssrc,0.6385377230939157,2.419691872039922,0.01,1475
0.2,target_ruidoso,4,naive,0.8746843253022053,,,1475
0.2,target_ruidoso,4,nnls,0.8695499275657892,,,1475
0.2,target_ruidoso,4,ols,0.7882739450183559,,,1475
0.2,target_ruidoso,4,ridge,0.7947762247584407,1.0282477153868208,0.001,1475
