regime,horizon,seed,mase_ssrc,mase_static,mase_ridge,mase_ols,diff_ssrc_vs_static,diff_ssrc_vs_ridge,diff_ssrc_vs_ols
clean_multistep,10,126,0.4649622335825373,0.30583412459143755,2.4068467190342187,2.417193143479083,0.15912810899109975,-1.9418844854516815,-1.9522309098965458
clean_multistep,10,127,0.2861763891813917,0.3636671358843823,2.4068467190342187,2.417193143479083,-0.07749074670299061,-2.120670329852827,-2.131016754297691
clean_multistep,10,128,0.9405434209765229,0.31582761688494054,2.4068467190342187,2.417193143479083,0.6247158040915823,-1.4663032980576958,-1.47664972250256
clean_multistep,10,129,0.7187861492053731,0.36707984775426633,2.4068467190342187,2.417193143479083,0.35170630145110676,-1.6880605698288456,-1.69840699427371
noise_0.1,1,100,0.40911689966359926,0.4962201216408662,0.6406349633674719,0.6517459677490617,-0.08710322197726694,-0.23151806370387268,-0.24262906808546242
noise_0.1,1,101,0.4147495768560652,0.4957980539802192,0.6406349633674719,0.6517459677490617,-0.08104847712415397,-0.22588538651140672,-0.23699639089299646
noise_0.1,1,102,0.41141107544293404,0.482544721516261,0.6406349633674719,0.6517459677490617,-0.07113364607332695,-0.2292238879245379,-0.24033489230612765
noise_0.1,1,103,0.3963157288987789,0.4874047737227174,0.6406349633674719,0.6517459677490617,-0.09108904482393848,-0.24431923446869303,-0.25543023885028276
noise_0.1,1,104,0.41097934156938815,0.48853284905401007,0.6406349633674719,0.6517459677490617,-0.07755350748462192,-0.2296556217980838,-0.24076662617967354
noise_0.1,1,105,0.42989042096279373,0.4996696541023165,0.6406349633674719,0.6517459677490617,-0.06977923313952278,-0.21074454240467821,-0.22185554678626795
noise_0.1,1,106,0.42836059987354214,0.4984874667027914,0.6406349633674719,0.6517459677490617,-0.07012686682924929,-0.2122743634939298,-0.22338536787551955
noise_0.1,1,107,0.43526930878423786,0.506521290980141,0.6406349633674719,0.6517459677490617,-0.07125198219590312,-0.20536565458323408,-0.21647665896482382
noise_0.1,1,108,0.40836603417341805,0.4864906323060603,0.6406349633674719,0.6517459677490617,-0.07812459813264228,-0.2322689291940539,-0.24337993357564364
noise_0.1,1,109,0.4254849570028596,0.49438085164175277,0.6406349633674719,0.6517459677490617,-0.06889589463889317,-0.21515000636461235,-0.22626101074620208
noise_0.1,1,110,0.4385836107285893,0.4871416408229295,0.6406349633674719,0.6517459677490617,-0.04855803009434018,-0.20205135263888263,-0.21316235702047237
noise_0.1,1,111,0.42905359780427554,0.49030241690413984,0.6406349633674719,0.6517459677490617,-0.06124881909986429,-0.2115813655631964,-0.22269236994478614
noise_0.1,1,112,0.4424283140532166,0.48828893107638816,0.6406349633674719,0.6517459677490617,-0.04586061702317157,-0.19820664931425536,-0.2093176536958451
