regime,location,sign,n_seeds,ssrc_lag_median,static_lag_median,ridge_median,ols_median,win_vs_static,win_vs_ridge,win_vs_ols,boot_diff_vs_static_mean,boot_diff_vs_static_ci_low,boot_diff_vs_static_ci_high,boot_diff_vs_ridge_mean,boot_diff_vs_ridge_ci_low,boot_diff_vs_ridge_ci_high,boot_diff_vs_ols_mean,boot_diff_vs_ols_ci_low,boot_diff_vs_ols_ci_high
shock_50sigma,5000,-1,30,0.3857396985604353,0.3827932658887201,0.058763481808259195,0.06482837624766465,"15/30 (50.0%) [0.31,0.69]","2/30 (6.7%) [0.01,0.22]","2/30 (6.7%) [0.01,0.22]",-0.058707341006669765,-0.1412523756146194,0.014970223014362528,0.3010416631253023,0.243754086029994,0.35790170600395854,0.2938782204268644,0.23361957480479698,0.35009025054132115
shock_50sigma,5000,1,30,0.40371376888089283,0.1910094099833577,0.23256372235365677,0.22930655842218867,"2/30 (6.7%) [0.01,0.22]","2/30 (6.7%) [0.01,0.22]","1/30 (3.3%) [0.00,0.17]",0.19325113766452973,0.14823155691253453,0.23722446053585378,0.176848550845764,0.14015365347435874,0.21378926816233848,0.1809790774033556,0.14362720180873698,0.21854061562397403
shock_50sigma,10000,-1,30,4.506279687953006,0.6058192446904812,0.1040701837712104,0.10528632808404574,"0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]",5.249792163578651,4.123658641769977,6.418078517899922,5.68201862384944,4.550800924229468,6.909446520995696,5.6812747954909515,4.541073124852652,6.906432483335679
shock_50sigma,10000,1,30,6.715016988416947,0.8392095439057983,0.28699282727795955,0.28864551564276814,"0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]",5.823518851800536,5.204962174574334,6.533109816504713,6.352872642500167,5.751325367685417,7.051115265240911,6.342251013651474,5.729913676402036,7.0377405089735445
shock_50sigma,15000,-1,30,0.6271600328856852,0.5001090622608626,1.3347190375196976,0.2447621691572754,"6/30 (20.0%) [0.08,0.39]","30/30 (100.0%) [0.88,1.00]","0/30 (0.0%) [0.00,0.12]",0.12698990455721415,0.08198865986103947,0.17660473559359977,-0.7038573168820758,-0.7523086118578606,-0.6543224585885249,0.38563567070969323,0.34055756186508424,0.43081508302256
shock_50sigma,15000,1,30,0.6547314192975209,0.623109500369968,1.1745813820492197,0.016746307144463533,"11/30 (36.7%) [0.20,0.56]","30/30 (100.0%) [0.88,1.00]","0/30 (0.0%) [0.00,0.12]",0.04307872696680303,-0.0031770943768505357,0.08921549878144357,-0.5265611374799357,-0.5844522632895713,-0.47198647050122566,0.6315765045538391,0.5763501257497378,0.6856539108563238
shock_50sigma,20000,-1,30,0.15545969297391113,0.2413669695736177,0.012784378410657314,0.307227293143884,"20/30 (66.7%) [0.47,0.83]","0/30 (0.0%) [0.00,0.12]","22/30 (73.3%) [0.54,0.88]",-0.09648222482178796,-0.18125546224277284,-0.014740822019125426,0.21336390819842171,0.1415440424737762,0.29357845939118327,-0.08083624300996198,-0.15107210625315962,-0.000999701696095606
shock_50sigma,20000,1,30,0.11497028027084305,0.07230864564173645,0.2486192443341579,0.2474833150063171,"11/30 (36.7%) [0.20,0.56]","28/30 (93.3%) [0.78,0.99]","27/30 (90.0%) [0.73,0.98]",0.03952554548251615,0.0021147197758974606,0.07920059010460134,-0.12488627644394026,-0.1559589813466441,-0.09139053006556402,-0.12439771192091038,-0.15458125191595312,-0.08935064447694113
shock_50sigma,25000,-1,30,0.14572003854814178,0.06223708570737775,0.21046086905340566,0.2068173476757867,"4/30 (13.3%) [0.04,0.31]","22/30 (73.3%) [0.54,0.88]","21/30 (70.0%) [0.51,0.85]",0.10645304574206316,0.07046724957080236,0.14708908183424807,-0.04822538671259093,-0.0846898026042551,-0.004694017690832327,-0.045354804757480764,-0.08156807016982603,-0.002355216912174648
shock_50sigma,25000,1,30,0.1361401771320884,0.019090413261661818,0.1860529156363013,0.18269812587858889,"2/30 (6.7%) [0.01,0.22]","21/30 (70.0%) [0.51,0.85]","21/30 (70.0%) [0.51,0.85]",0.14964525304963694,0.10185727484080473,0.20387042188768273,-0.014151604779545643,-0.05859093877817389,0.03693322519731619,-0.010668907106013151,-0.054802476860713156,0.04041739200747634
