ubicacion,magnitud_sigma,signo,mode,mase_calma,mase_shock,delta_mase_shock_menos_calma,kappa_raw_mediana_calma,kappa_raw_mediana_shock,kappa_ratio_shock_sobre_calma,patron_shock_baja_kappa,n_ventanas_shock
15000,10,1,ssrc,0.08875978159624015,0.20264187970532732,0.11388209810908717,1287319.8353481474,12959.692317942468,0.010067189180253408,True,25.0
15000,15,-1,naive,0.8619342561929809,0.6259641729804507,-0.2359700832125302,1287319.8353481474,56309.36743235569,0.04374155193307278,True,25.0
15000,15,-1,nnls,0.8763702016381114,0.6289576991756782,-0.24741250246243318,1287319.8353481474,56309.36743235569,0.04374155193307278,True,25.0
15000,15,-1,ols,0.25221402494338263,0.4634704053862782,0.21125638044289557,1287319.8353481474,56309.36743235569,0.04374155193307278,True,25.0
15000,15,-1,ridge,0.25120577717852943,0.5106780576810908,0.2594722805025613,1287319.8353481474,56309.36743235569,0.04374155193307278,True,25.0
15000,15,-1,ssrc,0.08875978159624015,0.22793748406411252,0.13917770246787237,1287319.8353481474,56309.36743235569,0.04374155193307278,True,25.0
15000,15,1,naive,0.8619342561929809,0.624227802204711,-0.23770645398826995,1287319.8353481474,57274.69149534833,0.044491423127849775,True,25.0
15000,15,1,nnls,0.8763702016381114,0.7953666241890351,-0.08100357744907627,1287319.8353481474,57274.69149534833,0.044491423127849775,True,25.0
15000,15,1,ols,0.25221402494338263,0.32736485252610115,0.07515082758271852,1287319.8353481474,57274.69149534833,0.044491423127849775,True,25.0
15000,15,1,ridge,0.25120577717852943,0.4466890196569461,0.19548324247841664,1287319.8353481474,57274.69149534833,0.044491423127849775,True,25.0
15000,15,1,ssrc,0.08875978159624015,0.2572026373350798,0.16844285573883966,1287319.8353481474,57274.69149534833,0.044491423127849775,True,25.0
15000,20,-1,naive,0.8619342561929809,0.5837376905830355,-0.27819656560994543,1287431.8922008914,174987.65143030588,0.13591992903885647,True,25.0
15000,20,-1,nnls,0.8763702016381114,0.6134315144307735,-0.26293868720733793,1287431.8922008914,174987.65143030588,0.13591992903885647,True,25.0
15000,20,-1,ols,0.25221402494338263,0.4278551873990479,0.17564116245566525,1287431.8922008914,174987.65143030588,0.13591992903885647,True,25.0
15000,20,-1,ridge,0.25120577717852943,0.5901842702311069,0.33897849305257743,1287431.8922008914,174987.65143030588,0.13591992903885647,True,25.0
15000,20,-1,ssrc,0.08875978159624015,0.25874022568469485,0.1699804440884547,1287431.8922008914,174987.65143030588,0.13591992903885647,True,25.0
15000,20,1,naive,0.8619342561929809,0.582227400888212,-0.2797068553047689,1287431.8922008914,177997.95562886383,0.13825815307757575,True,25.0
15000,20,1,nnls,0.8763702016381114,0.8560975796294474,-0.020272622008663976,1287431.8922008914,177997.95562886383,0.13825815307757575,True,25.0
15000,20,1,ols,0.25221402494338263,0.3117552084960657,0.059541183552683064,1287431.8922008914,177997.95562886383,0.13825815307757575,True,25.0
15000,20,1,ridge,0.25120577717852943,0.4210972431746975,0.16989146599616806,1287431.8922008914,177997.95562886383,0.13825815307757575,True,25.0
15000,20,1,ssrc,0.08875978159624015,0.29331698147550156,0.2045571998792614,1287431.8922008914,177997.95562886383,0.13825815307757575,True,25.0
15000,30,-1,naive,0.8619342561929809,0.5143441244500366,-0.3475901317429443,1287431.8922008914,881835.3247219783,0.6849568742735296,True,25.0
15000,30,-1,nnls,0.8763702016381114,0.5738858926824398,-0.3024843089556716,1287431.8922008914,881835.3247219783,0.6849568742735296,True,25.0
15000,30,-1,ols,0.25221402494338263,0.4636660132975298,0.2114519883541472,1287431.8922008914,881835.3247219783,0.6849568742735296,True,25.0
15000,30,-1,ridge,0.25120577717852943,0.45167540951555096,0.20046963233702153,1287431.8922008914,881835.3247219783,0.6849568742735296,True,25.0
15000,30,-1,ssrc,0.08875978159624015,0.34565031622000036,0.2568905346237602,1287431.8922008914,881835.3247219783,0.6849568742735296,True,25.0
15000,30,1,naive,0.8619342561929809,0.5131712110429273,-0.34876304515005363,1287431.8922008914,892235.851609262,0.6930353807563105,True,25.0
15000,30,1,nnls,0.8763702016381114,0.882531678565126,0.006161476927014631,1287431.8922008914,892235.851609262,0.6930353807563105,True,25.0
15000,30,1,ols,0.25221402494338263,0.3449617206283104,0.09274769568492774,1287431.8922008914,892235.851609262,0.6930353807563105,True,25.0
15000,30,1,ridge,0.25120577717852943,0.5636186733375571,0.3124128961590277,1287431.8922008914,892235.851609262,0.6930353807563105,True,25.0
15000,30,1,ssrc,0.08875978159624015,0.31158918483626197,0.22282940324002182,1287431.8922008914,892235.851609262,0.6930353807563105,True,25.0
20000,5,-1,naive,0.8609216385777785,0.9852583970223768,0.12433675844459835,1284357.0864074712,4924.76421073769,0.0038344197753546506,True,25.0
20000,5,-1,nnls,0.8706540910980196,1.107586664481879,0.23693257338385942,1284357.0864074712,4924.76421073769,0.0038344197753546506,True,25.0
20000,5,-1,ols,0.25221402494338263,0.3021421961630524,0.04992817121966975,1284357.0864074712,4924.76421073769,0.0038344197753546506,True,25.0
20000,5,-1,ridge,0.25120577717852943,0.26038044492787904,0.009174667749349608,1284357.0864074712,4924.76421073769,0.0038344197753546506,True,25.0
